2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.portfolio.base | Portfolio initialized: capital=100000.00, fee_rate=0.00055
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.engine.execution.base | ExecutionEngine initialized with config: ExecutionConfig
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.engine.runner | BacktestRunner initialized with strategy=MACrossover
2026-05-29 17:32:10 | INFO     | crypto_quant.backtester.engine.runner | Starting backtest run
2026-05-29 17:32:10 | INFO     | crypto_quant.backtester.engine.runner | Loaded 8760 bars from 2025-01-01 00:00:00+00:00 to 2025-12-31 23:00:00+00:00
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.engine.runner | Computed 2 features across 8760 bars
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.engine.runner | Generated 215 signal events from 8760 bars
2026-05-29 17:32:10 | INFO     | crypto_quant.backtester.engine.runner | Validated 8760 signals — no lookahead detected.
2026-05-29 17:32:10 | INFO     | crypto_quant.backtester.engine.runner | Phase 1 complete: data and signals ready, entering execution loop
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.001
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized SHORT position: -0.000
2026-05-29 17:32:10 | DEBUG    | crypto_quant.backtester.risk.temp_sizer | Sized LONG position: 0.000
